ID,country_satis,econ_sit,children_betteroff2,satisfied_democracy,financial20yr,diversity20yr,diversity20yr_fu,gender20yr,gender20yr_fu,religion20yr,religion20yr_fu,family20yr,family20yr_fu,fav_US,fav_China,fav_Russia,fav_India,fav_Pak,fav_Japan,partyfav_india_BJP,intthreat_chpower,INTTHREAT_USPOWER,intthreat_ruspower,intthreat_climatechange,intthreat_isis,intthreat_cyber,intthreat_NKorea,intthreat_econcondition,trade,trade_wages,trade_jobs,trade_prices,econ_power,respect_china,respect_us,US_WORLD_ROLE,world_role_China,world_role_russia,world_role_india,world_role_germany,world_role_UK,world_role_france,worldleader_USChina,describecountry_officials,describecountry_court,describecountry_corrupt,describecountry_walk,describecountry_election,describecountry_views,describecountry_sol,confid_trump,confid_xi,confid_putin,confid_merkel,confid_macron,confid_abe,confid_modi,USREL_BETTERWORSE,involved_US,interest_surveycountry,use_internet,own_cell_standalone,smartphone,social_net,cyberattack_infrastructure,cyberattack_elections,cyberattack_natsec,preparedcyberattack,prob_leaving,immig_moreless,planmove,whymove_jobs,whymove_violence,whymove_educ,whymove_family,prob_crime,prob_employ_opp,prob_rich_poor,prob_corrupt_biz,prob_terror,prob_rise_prices,prob_corrupt_officials,prob_air_pollution,prob_communal_relations,prob_schools,prob_healthcare,prob_Kashmir,fiveyears_prob_job,fiveyears_prob_terror,fiveyears_prob_corrupt,fiveyears_prob_richpoor,fiveyears_prob_comrel,fiveyears_prob_air,fiveyears_prob_prices,fiveyears_prob_Kashmir,Kashmir_military,fiveyears_rel_China,fiveyears_rel_Russia,fiveyears_rel_Pak,fiveyears_rel_US,indiaus_ties_mil,indiaus_ties_econ,threat_let,threat_pak,threat_china,sex,age,d_relig_india_A,d_relig2_india_A,evil_spirits,relbehavior_marking,relbehavior_symbols,relbehavior_altar,relbehavior_food,sexselect_abortion,relparticipate_sing,relparticipate_story,relparticipate_prayer,religion_import,d_educ_india,d_income_india,d_hhpeople,d_adult_us,d_ptyid_proximity_india,d_homephone_us,d_hhcell
1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,4,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,3,2,1,1,1,1,1,1,1,1,1,8,8,8,8,8,1,1,1,1,2,1,2,2,1,1,1,2,3,2,2,1,4,2,3,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,3,2,3,1,3,1,4,1,1,1,1,1,2,2,28,1,13,2,2,2,1,2,2,1,1,2,1,5,7,5,2,6,2,NA
2,1,1,1,1,2,1,1,1,1,1,8,8,NA,1,4,1,1,4,2,1,2,3,3,1,1,1,2,1,8,8,8,8,8,8,8,8,3,1,1,8,8,8,9,1,2,1,2,1,1,1,2,8,8,8,8,8,1,8,8,8,2,2,NA,2,8,1,1,1,8,1,2,1,3,2,3,1,1,1,1,1,1,1,1,2,1,1,1,2,4,2,2,8,8,4,8,1,8,8,4,2,1,1,1,1,2,2,34,1,13,2,2,2,1,2,2,1,1,2,1,3,4,4,2,6,2,1
3,1,1,1,4,2,1,1,2,1,1,1,1,1,1,2,1,1,4,2,4,1,2,3,1,1,1,2,1,4,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,3,1,8,8,8,2,1,1,2,1,1,2,2,2,1,2,2,2,1,2,1,4,1,3,1,1,1,1,1,1,1,1,2,1,2,1,2,3,2,2,2,2,3,3,1,3,1,4,1,1,1,1,1,3,1,18,1,13,2,2,2,1,1,2,2,2,2,1,6,7,6,3,7,2,NA
4,1,2,9,9,8,8,NA,8,NA,8,NA,3,1,8,8,8,1,4,8,1,8,8,8,8,8,8,8,8,8,8,8,8,1,8,8,8,8,8,1,8,8,8,1,2,1,1,1,1,1,1,8,8,8,8,8,8,3,8,8,8,2,2,NA,2,8,8,8,8,4,2,2,1,8,1,2,2,1,1,1,1,1,1,1,3,1,2,1,2,2,2,2,8,8,2,4,1,3,1,4,2,1,1,1,1,1,2,28,1,13,2,2,2,2,2,8,1,2,2,2,1,2,12,7,99,2,1
5,1,2,8,2,3,8,NA,8,NA,8,NA,2,2,8,8,8,2,8,8,2,8,8,8,8,8,8,8,8,2,8,8,8,8,8,1,1,8,8,2,8,1,8,4,3,2,4,4,3,8,2,8,8,8,8,8,8,2,8,8,8,2,1,2,2,8,8,8,8,8,8,2,1,4,2,4,1,1,1,1,2,1,1,4,2,1,1,8,2,2,2,3,3,2,3,8,8,8,8,8,8,8,8,1,1,1,1,57,1,13,2,2,2,2,2,2,1,1,1,2,1,3,4,3,6,1,NA
6,1,2,1,2,1,1,1,1,1,2,1,2,2,2,3,3,1,4,3,1,2,3,3,2,1,8,8,8,2,8,8,8,1,8,8,1,8,8,2,8,8,8,8,4,2,4,2,4,2,2,8,8,8,8,8,8,2,8,8,8,2,2,NA,2,8,8,8,8,1,8,2,1,4,3,4,1,1,1,1,2,1,1,4,2,1,1,1,2,2,3,3,5,1,5,5,8,8,8,8,8,8,8,8,1,8,1,20,1,13,2,2,2,2,2,3,1,1,1,1,2,3,3,3,6,2,1
7,1,2,8,1,3,8,NA,8,NA,8,NA,3,8,8,8,8,1,4,8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2,4,2,4,4,2,8,8,8,8,8,8,2,8,8,8,2,2,NA,2,8,8,8,8,8,8,2,8,8,8,8,1,1,1,1,1,1,1,4,1,1,1,8,8,8,8,5,5,8,5,8,8,8,8,8,8,8,8,8,1,8,1,58,1,13,2,2,2,1,2,3,1,1,2,1,1,2,4,4,99,2,2
8,1,2,2,1,1,1,1,1,1,1,1,1,1,8,8,8,1,4,8,4,8,8,8,8,8,8,8,8,2,8,8,8,8,8,8,8,9,8,1,8,8,8,8,4,8,8,8,4,4,4,8,8,8,8,8,8,2,8,8,8,2,2,NA,2,8,8,8,8,8,8,2,8,8,8,8,8,2,2,2,8,2,3,3,8,1,4,8,8,8,3,8,4,4,8,8,1,8,8,2,8,8,8,1,3,8,2,40,1,13,2,1,1,1,1,8,1,1,2,1,1,4,4,2,27,2,1
9,1,1,1,2,1,1,1,1,2,2,2,1,1,8,8,8,1,4,8,2,8,8,8,2,8,8,8,8,2,1,1,1,1,8,1,1,8,8,1,8,8,8,2,4,2,4,1,1,2,1,8,8,8,8,8,8,2,8,1,8,2,1,2,2,8,8,8,8,2,4,2,8,8,1,4,8,2,2,2,8,2,3,3,8,1,4,8,4,3,5,3,3,4,4,4,1,4,5,4,3,4,3,1,2,3,1,30,1,13,2,1,1,1,1,2,1,1,1,2,6,4,4,2,27,2,NA
10,1,1,1,2,2,2,2,1,2,1,1,2,2,8,8,8,1,4,2,4,8,8,8,8,8,8,8,8,1,1,1,1,8,8,8,1,8,8,1,8,8,8,1,4,3,3,4,4,2,2,8,8,8,8,8,8,3,8,8,8,2,2,NA,2,8,8,8,8,8,4,2,8,8,8,8,2,2,2,1,3,2,1,2,2,1,1,3,4,4,4,4,4,4,4,4,1,8,2,3,8,8,3,2,3,8,1,60,1,13,2,1,1,1,2,2,2,2,2,2,1,4,1,NA,27,2,NA
